Start (s),End (s),scientific_name,common_name,Confidence,File,lat,lon
42.0,45.0,Turdus merula,Eurasian Blackbird,0.3007,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_073000.wav,51.407777,-0.646617
45.0,48.0,Turdus merula,Eurasian Blackbird,0.5934,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_073000.wav,51.407777,-0.646617
51.0,54.0,Turdus merula,Eurasian Blackbird,0.2940,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_073000.wav,51.407777,-0.646617
12.0,15.0,Picus viridis,Eurasian Green Woodpecker,0.6704,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_073500.wav,51.407777,-0.646617
18.0,21.0,Parus major,Great Tit,0.4089,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_073500.wav,51.407777,-0.646617
21.0,24.0,Parus major,Great Tit,0.5245,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_073500.wav,51.407777,-0.646617
33.0,36.0,Parus major,Great Tit,0.3015,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_073500.wav,51.407777,-0.646617
36.0,39.0,Cyanistes caeruleus,Eurasian Blue Tit,0.4615,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_073500.wav,51.407777,-0.646617
48.0,51.0,Parus major,Great Tit,0.3589,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_073500.wav,51.407777,-0.646617
57.0,60.0,Parus major,Great Tit,0.3896,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_073500.wav,51.407777,-0.646617
3.0,6.0,Regulus ignicapilla,Common Firecrest,0.5484,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_074000.wav,51.407777,-0.646617
24.0,27.0,Regulus ignicapilla,Common Firecrest,0.8926,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_074000.wav,51.407777,-0.646617
33.0,36.0,Regulus ignicapilla,Common Firecrest,0.3609,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_074000.wav,51.407777,-0.646617
51.0,54.0,Regulus ignicapilla,Common Firecrest,0.4317,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_074000.wav,51.407777,-0.646617
3.0,6.0,Picus viridis,Eurasian Green Woodpecker,0.3349,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_074500.wav,51.407777,-0.646617
