ec5_uuid,ec5_parent_uuid,created_at,uploaded_at,title,Stem_number,Stem_distance,Angle_to_base,Angle_to_canopy,Stem_girth
eaab521e-c7b6-4af3-88bb-546fec406011,cafb6ee9-c1f6-4371-92c2-fa016b6ecd6a,2024-10-07T17:28:39.000Z,2024-10-07T17:30:33.000Z,1,1,10.5,,55,57
4abf4703-7049-4dd4-a17e-b08e90b9cf86,71461159-9d1d-4961-86a2-70b42779ea65,2024-10-07T17:27:47.000Z,2024-10-07T17:30:31.000Z,1,1,10.5,,54,94
bbc42fa9-6d19-43e3-902c-84dfaced37dd,f1cd8870-ad9e-49bb-a205-90fca3558740,2024-10-07T17:28:18.000Z,2024-10-07T17:30:28.000Z,1,1,10.5,,76,250
f548fe55-b1d7-4dc4-b262-7f2ca72e8720,e8b1d402-6127-4590-a6d2-163b7df2ddd5,2024-10-07T17:27:16.000Z,2024-10-07T17:30:25.000Z,1,1,10,,59,113
beaa942f-d405-4c89-9317-343b3956f7cc,e954cbc3-7da7-4c83-b1d7-fc28db1725ba,2024-10-07T17:26:53.000Z,2024-10-07T17:30:22.000Z,1,1,10.7,,69,85
df211c4e-f800-4170-b289-ec295ceb4d36,a5b16dba-7bea-4de9-b867-836802e9c990,2024-10-07T17:26:32.000Z,2024-10-07T17:30:19.000Z,1,1,10,,37,68
7f58b0f4-04dd-4a46-8125-e0c050d557a9,c81206f0-de05-4e6b-8b98-21aa0a6bd953,2024-10-07T17:26:00.000Z,2024-10-07T17:30:17.000Z,2,2,10,,55,
8991dd62-a92d-49b5-bc84-5dc2a4d54657,0d4c2105-fad9-4231-9008-c1d949c2ca50,2024-10-07T17:25:17.000Z,2024-10-07T17:30:13.000Z,2,2,10,,66,
8926843c-7e07-488e-8eec-b3ea5b05cba9,1474a42c-047a-4a2d-86d7-fa1ebd1bd73b,2024-10-07T17:24:58.000Z,2024-10-07T17:30:10.000Z,1,1,10,,55,110
b1e9adee-e92c-4fc2-a80c-96c2c6a03ebd,300669e3-5560-45e2-adab-2849918fc203,2024-10-07T17:24:32.000Z,2024-10-07T17:30:08.000Z,1,1,12,0,65,96
01d44bf6-bb85-4629-91b8-bfeea980d116,75d6992b-f0d7-4506-ab03-37e3b8a17f5c,2024-10-07T17:23:54.000Z,2024-10-07T17:30:05.000Z,1,1,10,0,65,180
c5526d67-b5cd-4e44-b9e2-cdf3d30e0991,c049fac0-07ff-4567-aadb-3f3ca1cd0129,2024-10-07T17:23:11.000Z,2024-10-07T17:30:01.000Z,1,1,11,0,57,97
eda93207-f654-45ba-92a7-2606a474a314,55cfd9d9-4a3c-4030-bcb8-ed91ce1fdc6c,2024-10-07T17:22:46.000Z,2024-10-07T17:29:58.000Z,1,1,10.5,0,45,54
770db6bf-b37d-408c-bf78-eac64b0ab32e,fdba5fe4-3691-4803-acc1-a77769694180,2024-10-07T17:22:24.000Z,2024-10-07T17:29:56.000Z,2,2,16.7,,35,
3e318a58-66e2-4dbc-a965-1b04976faf3e,f0935cfa-46d8-4c2e-8a22-889b171fcdb3,2024-10-07T17:21:58.000Z,2024-10-07T17:29:54.000Z,1,1,12,,52,210
87b08165-2c81-40e2-afe5-697d762da2f5,958abf3d-7f02-4c62-a0e5-3911b658c94c,2024-10-07T17:21:24.000Z,2024-10-07T17:29:50.000Z,1,1,13.7,,60,65
281fb5d7-f231-4980-912b-19aa30f15a5d,6c09c6f2-62ce-4659-9c76-6bdfc7073258,2024-10-07T17:20:51.000Z,2024-10-07T17:29:47.000Z,2,2,13,,50,
